year,month,location_period_id,sm
2009,11,12768,17.846153
2009,11,12769,32.0
2009,11,12774,45.5
2009,11,12850,36.0
2009,11,12851,36.0
2009,11,12902,26.25
2009,11,12910,11.333333
2009,11,12912,16.5
2009,11,12915,10.6
2009,11,12928,43.533333
2009,11,12932,24.666666
2009,11,12933,27.142857
2009,11,12937,23.375
2009,11,12942,40.028168
2009,11,13004,42.0
2009,11,13012,58.904762
2009,11,13017,42.0
2009,11,13035,61.75
2009,11,13054,23.571428
2009,11,13055,12.6
2009,11,13057,1.75
2009,11,13058,28.166666
2009,11,13059,20.142857
2009,11,13060,14.833333
2009,11,13061,24.0
2009,11,13063,16.0
2009,11,13064,12.25
2009,11,13066,23.7
2009,11,13072,23.4
2009,11,13073,12.166667
2009,11,13074,12.2
2009,11,13075,7.7727275
2009,11,13079,10.666667
2009,11,13080,11.75
2009,11,13081,26.666666
2009,11,13082,25.75
2009,11,13083,2.9375
2009,11,13109,16.0
2009,11,13110,38.0
2009,11,13111,31.0
2009,11,13112,16.25
2009,11,13113,16.083334
2009,11,13114,25.3125
2009,11,13115,12.714286
2009,11,13117,22.0
2009,11,13119,19.173077
2009,11,13120,20.040403
2009,11,13122,18.875
2009,11,13162,53.666668
2009,11,13167,56.0
2009,11,13169,45.0
2009,11,13170,46.0
2009,11,13183,52.153847
2009,11,13184,44.75
2009,11,13187,36.0
2009,11,13191,31.5
2009,11,13220,13.277778
2009,11,13227,5.2222223
2009,11,13233,10.740741
2009,11,13234,13.575
2009,11,13235,21.086956
2009,11,13240,13.0
2009,11,13267,32.57895
2009,11,13268,28.4
2009,11,13269,18.473684
2009,11,13273,14.0
2009,11,13274,29.62963
2009,11,13278,12.0
2009,11,13279,3.0
2009,11,13280,19.0
2009,11,13286,4.123077
2009,11,13292,15.672515
2009,11,13293,14.5482235
2009,11,13325,3.659091
2009,11,13352,7.037037
2009,11,13404,19.0
2009,11,13407,34.84
2009,11,13408,32.07843
2009,11,13467,21.85
2009,11,13469,22.25
2009,11,13472,27.520834
2009,11,13496,17.140844
2009,11,13505,34.42857
2009,11,13506,24.869047
2009,11,13508,15.907563
2009,11,13514,63.75
2009,11,13522,31.883928
2009,11,14091,28.673914
2009,11,14143,65.5
2009,11,14154,38.4
2009,11,14155,31.72973
2009,11,14157,26.116882
2009,11,14182,14.555555
2009,11,14254,66.454544
2009,11,14355,71.12963
2009,11,14357,76.21875
2009,11,14361,68.23529
2009,11,14364,70.893616
2009,11,14371,76.22581
2009,11,14375,57.666668
2009,11,14376,77.6
2009,11,14380,68.666664
2009,11,14383,76.46875
2009,11,14385,71.86539
2009,11,14387,72.0
2009,11,14389,82.265305
2009,11,14390,56.333332
2009,11,14391,75.914894
2009,11,14393,72.14286
2009,11,14397,78.388885
2009,11,14400,75.4
2009,11,14401,66.37931
2009,11,14403,73.75
2009,11,14406,72.31111
2009,11,14445,47.666668
2009,11,14455,64.89189
2009,11,14456,64.333336
2009,11,14458,46.0
2009,11,14460,59.5
2009,11,14466,64.0
2009,11,14472,56.384617
2009,11,14487,54.0
2009,11,14489,50.0
2009,11,14517,80.521736
2009,11,14518,83.90909
2009,11,14537,69.64706
2009,11,14548,90.8
2009,11,14588,63.0
2009,11,14591,85.333336
2009,11,14593,58.0
2009,11,14594,79.0
2009,11,14597,35.5
2009,11,14598,79.0
2009,11,14599,78.333336
2009,11,14600,68.0
2009,11,14612,33.4
2009,11,14626,59.727272
2009,11,14635,62.333332
2009,11,14665,91.0
2009,11,14669,82.0
2009,11,14671,87.0
2009,11,14675,84.0
2009,11,14676,86.0
2009,11,14682,86.666664
2009,11,14684,83.0
2009,11,14685,89.0
2009,11,14695,77.7
2009,11,14726,31.103449
2009,11,14752,56.0
2009,11,14899,72.28571
2009,11,14946,81.329414
2009,11,14967,78.608696
2009,11,14969,78.52941
2009,11,14982,80.61905
2009,11,14983,74.666664
2009,11,14985,70.19444
2009,11,14989,81.666664
2009,11,15058,67.76
