location,outbreak_number,start_weekday,duration,threshold,total_suspected_cases,attack_rate,total_deaths,cfr,temporal_scale,country,population,area,mean_R0,population_density,rural_urban,pop_cat,who_region,start_date,end_date,total_confirmed_cases,spatial_scale,location_period_id,time_to_peak..weeks.
afr::cmr::north::figuilhealthdistrict,3,Monday,19,1.434387795,425,4.41202042,18,4.235294118,weekly,CMR,96327.8,777.3752357,1.05,123.9141609,Rural settings,"Population <100,000",AFR,7/18/2011,11/27/2011,NA,admin2,13109,3
afr::cmr::north::figuilhealthdistrict,4,Monday,13,1.434387795,25,0.260124154,0,0,weekly,CMR,96108,777.3752357,1.91,123.6314145,Rural settings,"Population <100,000",AFR,8/11/2014,11/9/2014,NA,admin2,13109,4
afr::cmr::north::garoua1healthdistrict,1,Monday,9,1.46800236,94,0.957155898,4,4.255319149,weekly,CMR,98207.6,429.4137305,1.52,228.7015832,Rural settings,"Population <100,000",AFR,8/29/2011,10/30/2011,NA,admin2,13110,3
afr::cmr::north::garoua1healthdistrict,3,Monday,12,1.46800236,119,1.047439189,NA,NA,weekly,CMR,113610.4,429.4137305,1.87,264.5709532,Rural settings,"Population <1,000,000",AFR,9/10/2018,12/2/2018,NA,admin2,13110,3
afr::cmr::north::garoua2healthdistrict,1,Monday,16,0.855237823,63,0.904863236,1,1.587301587,weekly,CMR,69623.8,103.6343114,1.92,671.8219001,Rural settings,"Population <100,000",AFR,8/29/2011,12/18/2011,NA,admin2,13111,3
afr::cmr::north::golombehealthdistrict,1,Monday,7,0.687190068,22,0.288679667,0,0,weekly,CMR,76209,768.5359595,2.16,99.16126768,Rural settings,"Population <100,000",AFR,9/20/2010,11/7/2010,NA,admin2,13112,3
afr::cmr::north::golombehealthdistrict,3,Monday,11,0.687190068,91,1.164282593,4,4.395604396,weekly,CMR,78159.7,768.5359595,2.12,101.6994703,Rural settings,"Population <100,000",AFR,7/4/2011,9/18/2011,NA,admin2,13112,7
afr::cmr::north::guiderhealthdistrict,2,Monday,14,0.231180014,76,0.366273141,1,1.315789474,weekly,CMR,207495.4,1501.527603,1.96,138.1895342,Rural settings,"Population <1,000,000",AFR,8/22/2011,11/27/2011,NA,admin2,13113,12
afr::cmr::north::lagdohealthdistrict,1,Monday,28,0.578514873,468,2.943151831,14,2.991452991,weekly,CMR,159013.2,2420.910601,1.84,65.68321851,Rural settings,"Population <1,000,000",AFR,5/23/2011,12/4/2011,NA,admin2,13114,8
afr::cmr::north::mayooulohealthdistrict,2,Monday,15,0.31689036,163,1.196160179,5,3.067484663,weekly,CMR,136269.4,1170.931702,2.04,116.3768986,Rural settings,"Population <1,000,000",AFR,9/1/2014,12/14/2014,NA,admin2,13115,12
afr::cmr::north::mayooulohealthdistrict,3,Monday,6,0.31689036,7,0.049804999,1,14.28571429,weekly,CMR,140548.1,1170.931702,1.97,120.0309973,Rural settings,"Population <1,000,000",AFR,9/28/2015,11/8/2015,NA,admin2,13115,3
afr::cmr::north::pitoahealthdistrict,4,Monday,25,1.148806346,679,4.753945887,22,3.24005891,weekly,CMR,142828.7,1238.419173,2.13,115.331467,Rural settings,"Population <1,000,000",AFR,5/30/2011,11/20/2011,NA,admin2,13117,3
afr::cmr::north::pitoahealthdistrict,5,Monday,17,1.148806346,129,0.6133391,NA,NA,weekly,CMR,210324.1,1238.419173,1.78,169.8327227,Rural settings,"Population <1,000,000",AFR,8/6/2018,12/2/2018,NA,admin2,13117,8
afr::cmr::north::reyboubahealthdistrict,1,Monday,18,0.525226833,267,1.750198495,23,8.61423221,weekly,CMR,152554.1,8106.365968,1.57,18.8190492,Rural settings,"Population <1,000,000",AFR,7/18/2011,11/20/2011,NA,admin2,13119,6
afr::cmr::north::tchollirehealthdistrict,1,Monday,14,0.546935539,367,2.1600755,3,0.817438692,weekly,CMR,169901.5,15708.09464,2.16,10.81617497,Rural settings,"Population <1,000,000",AFR,8/15/2011,11/20/2011,NA,admin2,13120,3
afr::cmr::southwest::bueahealthdistrict,3,Monday,31,0.891426833,504,3.511146824,9,1.785714286,weekly,CMR,143542.8,469.3274514,2.04,305.8478671,Rural settings,"Population <1,000,000",AFR,2/14/2011,9/18/2011,NA,admin2,13156,19
afr::cmr::southwest::kumbahealthdistrict,2,Monday,40,0.382653105,308,1.617908487,3,0.974025974,weekly,CMR,190369.2,1209.232293,1.71,157.4298016,Rural settings,"Population <1,000,000",AFR,1/3/2011,10/9/2011,NA,admin2,13162,3
afr::cmr::southwest::muyukahealthdistrict,1,Monday,25,0.118718259,74,0.572791855,1,1.351351351,weekly,CMR,129191.8,513.2346081,1.87,251.7207491,Rural settings,"Population <1,000,000",AFR,1/3/2011,6/26/2011,NA,admin2,13167,5
